37,45,0.005854666666703852
N1,N2,latency
37,38,0.005970666666703243
N1,N2,latency
37,46,0.005996666666704512
N1,N2,latency
36,38,0.005878000000034858
N1,N2,latency
38,40,0.005890666666703157
N1,N2,latency
37,44,0.005834666666703336
N1,N2,latency
38,42,0.006082000000034595
N1,N2,latency
38,46,0.005974000000037931
N1,N2,latency
38,43,0.006016666666704782
N1,N2,latency
37,43,0.005892666666702147
N1,N2,latency
35,40,0.005770666666701794
N1,N2,latency
35,43,0.005867333333366715
N1,N2,latency
34,42,0.005805333333367643
N1,N2,latency
37,42,0.005978666666701928
N1,N2,latency
35,46,0.005806666666700932
N1,N2,latency
34,39,0.005804666666696175
N1,N2,latency
37,41,0.005946666666702723
N1,N2,latency
36,43,0.005917333333365091
N1,N2,latency
36,46,0.0061040000000349625
N1,N2,latency
33,39,0.005820000000031082
N1,N2,latency
35,38,0.005854666666699247
N1,N2,latency
36,45,0.00581933333336578
N1,N2,latency
36,40,0.00596666666670058
N1,N2,latency
33,44,0.005790000000033117
N1,N2,latency
35,41,0.005728666666702262
N1,N2,latency
36,39,0.005926000000035144
N1,N2,latency
36,41,0.0058620000000342036
N1,N2,latency
34,41,0.005853333333364752
N1,N2,latency
35,47,0.005804666666702037
N1,N2,latency
34,47,0.005813333333367099
N1,N2,latency
36,44,0.005889333333366407
N1,N2,latency
35,39,0.0057926666666985906
N1,N2,latency
33,38,0.005881333333361819
N1,N2,latency
33,40,0.005724000000033733
N1,N2,latency
36,47,0.005937333333363746
N1,N2,latency
34,40,0.005884000000031281
N1,N2,latency
34,46,0.005952666666701192
N1,N2,latency
35,42,0.005939333333367823
N1,N2,latency
32,42,0.0058886666667015706
N1,N2,latency
32,45,0.005842000000036482
N1,N2,latency
31,38,0.005772666666699156
N1,N2,latency
31,44,0.005866000000030218
N1,N2,latency
31,41,0.005862666666701456
N1,N2,latency
30,41,0.005954666666698925
N1,N2,latency
32,43,0.005718000000036129
N1,N2,latency
31,43,0.005822666666698593
N1,N2,latency
31,39,0.005771333333368776
N1,N2,latency
30,40,0.005756000000033832
N1,N2,latency
30,39,0.005868666666700604
N1,N2,latency
30,42,0.005824000000032806
N1,N2,latency
30,46,0.0058006666667019795
N1,N2,latency
31,42,0.0058080000000280884
N1,N2,latency
30,38,0.005804000000025839
N1,N2,latency
32,44,0.005798666666700437
N1,N2,latency
35,44,0.005952666666700162
N1,N2,latency
34,38,0.0059300000000336835
N1,N2,latency
35,45,0.0059426666667019325
N1,N2,latency
34,45,0.005804666666697363
N1,N2,latency
34,43,0.006014000000032462
N1,N2,latency
32,39,0.005769333333366005
N1,N2,latency
34,44,0.005839333333367117
N1,N2,latency
29,44,0.005838000000027896
N1,N2,latency
29,47,0.005845333333367675
N1,N2,latency
32,38,0.005821333333365759
N1,N2,latency
32,40,0.005748000000030915
N1,N2,latency
33,45,0.005949333333366823
N1,N2,latency
33,47,0.00572000000003457
N1,N2,latency
33,42,0.005778666666701326
N1,N2,latency
33,43,0.005886000000033905
N1,N2,latency
33,41,0.005698666666699916
N1,N2,latency
32,41,0.005854000000033499
N1,N2,latency
